topic,question,option_a,option_b,option_c,option_d,correct,explanation,difficulty
Blood Relations,"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""120"" viewBox=""0 0 300 120"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><rect x=""120"" y=""10"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""25"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Father</text><line x1=""150"" y1=""40"" x2=""150"" y2=""70"" stroke=""black"" stroke-width=""2""/><rect x=""120"" y=""70"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""85"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Son</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Blood Relations Q4: A is the father of B. How is B related to A?</p>",Son/Daughter,Father,Uncle,Brother,A,The diagram shows a direct vertical lineage from Father to Son.,Medium
Blood Relations,"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""120"" viewBox=""0 0 300 120"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><rect x=""120"" y=""10"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""25"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Father</text><line x1=""150"" y1=""40"" x2=""150"" y2=""70"" stroke=""black"" stroke-width=""2""/><rect x=""120"" y=""70"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""85"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Son</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Blood Relations Q5: A is the father of B. How is B related to A?</p>",Son/Daughter,Father,Uncle,Brother,A,The diagram shows a direct vertical lineage from Father to Son.,Medium
Blood Relations,"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""120"" viewBox=""0 0 300 120"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><rect x=""120"" y=""10"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""25"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Father</text><line x1=""150"" y1=""40"" x2=""150"" y2=""70"" stroke=""black"" stroke-width=""2""/><rect x=""120"" y=""70"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""85"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Son</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Blood Relations Q6: A is the father of B. How is B related to A?</p>",Son/Daughter,Father,Uncle,Brother,A,The diagram shows a direct vertical lineage from Father to Son.,Medium
Blood Relations,"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""120"" viewBox=""0 0 300 120"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><rect x=""120"" y=""10"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""25"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Father</text><line x1=""150"" y1=""40"" x2=""150"" y2=""70"" stroke=""black"" stroke-width=""2""/><rect x=""120"" y=""70"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""85"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Son</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Blood Relations Q7: A is the father of B. How is B related to A?</p>",Son/Daughter,Father,Uncle,Brother,A,The diagram shows a direct vertical lineage from Father to Son.,Medium
Blood Relations,"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""120"" viewBox=""0 0 300 120"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><rect x=""120"" y=""10"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""25"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Father</text><line x1=""150"" y1=""40"" x2=""150"" y2=""70"" stroke=""black"" stroke-width=""2""/><rect x=""120"" y=""70"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""85"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Son</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Blood Relations Q8: A is the father of B. How is B related to A?</p>",Son/Daughter,Father,Uncle,Brother,A,The diagram shows a direct vertical lineage from Father to Son.,Medium
Blood Relations,"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""120"" viewBox=""0 0 300 120"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><rect x=""120"" y=""10"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""25"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Father</text><line x1=""150"" y1=""40"" x2=""150"" y2=""70"" stroke=""black"" stroke-width=""2""/><rect x=""120"" y=""70"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""85"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Son</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Blood Relations Q9: A is the father of B. How is B related to A?</p>",Son/Daughter,Father,Uncle,Brother,A,The diagram shows a direct vertical lineage from Father to Son.,Medium
Blood Relations,"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""120"" viewBox=""0 0 300 120"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><rect x=""120"" y=""10"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""25"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Father</text><line x1=""150"" y1=""40"" x2=""150"" y2=""70"" stroke=""black"" stroke-width=""2""/><rect x=""120"" y=""70"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""85"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Son</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Blood Relations Q10: A is the father of B. How is B related to A?</p>",Son/Daughter,Father,Uncle,Brother,A,The diagram shows a direct vertical lineage from Father to Son.,Medium
Blood Relations,"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""120"" viewBox=""0 0 300 120"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><rect x=""120"" y=""10"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""25"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Father</text><line x1=""150"" y1=""40"" x2=""150"" y2=""70"" stroke=""black"" stroke-width=""2""/><rect x=""120"" y=""70"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""85"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Son</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Blood Relations Q11: A is the father of B. How is B related to A?</p>",Son/Daughter,Father,Uncle,Brother,A,The diagram shows a direct vertical lineage from Father to Son.,Medium
Blood Relations,"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""120"" viewBox=""0 0 300 120"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><rect x=""120"" y=""10"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""25"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Father</text><line x1=""150"" y1=""40"" x2=""150"" y2=""70"" stroke=""black"" stroke-width=""2""/><rect x=""120"" y=""70"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""85"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Son</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Blood Relations Q12: A is the father of B. How is B related to A?</p>",Son/Daughter,Father,Uncle,Brother,A,The diagram shows a direct vertical lineage from Father to Son.,Medium
Blood Relations,"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""120"" viewBox=""0 0 300 120"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><rect x=""120"" y=""10"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""25"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Father</text><line x1=""150"" y1=""40"" x2=""150"" y2=""70"" stroke=""black"" stroke-width=""2""/><rect x=""120"" y=""70"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""85"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Son</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Blood Relations Q13: A is the father of B. How is B related to A?</p>",Son/Daughter,Father,Uncle,Brother,A,The diagram shows a direct vertical lineage from Father to Son.,Medium
Blood Relations,"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""120"" viewBox=""0 0 300 120"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><rect x=""120"" y=""10"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""25"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Father</text><line x1=""150"" y1=""40"" x2=""150"" y2=""70"" stroke=""black"" stroke-width=""2""/><rect x=""120"" y=""70"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""85"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Son</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Blood Relations Q14: A is the father of B. How is B related to A?</p>",Son/Daughter,Father,Uncle,Brother,A,The diagram shows a direct vertical lineage from Father to Son.,Medium
Blood Relations,"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""120"" viewBox=""0 0 300 120"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><rect x=""120"" y=""10"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""25"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Father</text><line x1=""150"" y1=""40"" x2=""150"" y2=""70"" stroke=""black"" stroke-width=""2""/><rect x=""120"" y=""70"" width=""60"" height=""30"" fill=""white"" stroke=""black"" stroke-width=""2""/><text x=""150"" y=""85"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">Son</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Blood Relations Q15: A is the father of B. How is B related to A?</p>",Son/Daughter,Father,Uncle,Brother,A,The diagram shows a direct vertical lineage from Father to Son.,Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q1: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q2: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q3: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q4: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q5: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q6: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q7: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q8: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q9: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q10: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q11: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q12: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q13: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q14: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
